date,year,month,incorporation_by_company_split_all_companies,corporate_reorganization_all_companies,dissolution_by_merger_all_companies,incorporation_by_merger_all_companies,completion_of_liquidation_all_companies,special_liquidation_all_companies,capital_increase_by_company_split_all_companies,capital_decrease_by_company_split_all_companies,bankruptcy_or_civil_rehabilitation_all_companies,registrations_total_all_companies,dissolution_all_companies,incorporation_all_companies,incorporation_by_company_split_kabushiki,corporate_reorganization_kabushiki,dissolution_by_merger_kabushiki,incorporation_by_merger_kabushiki,completion_of_liquidation_kabushiki,special_liquidation_kabushiki,capital_increase_by_company_split_kabushiki,capital_decrease_by_company_split_kabushiki,bankruptcy_or_civil_rehabilitation_kabushiki,registrations_total_kabushiki,dissolution_kabushiki,incorporation_kabushiki,incorporation_by_company_split_tokurei_yugen,corporate_reorganization_tokurei_yugen,dissolution_by_merger_tokurei_yugen,incorporation_by_merger_tokurei_yugen,completion_of_liquidation_tokurei_yugen,special_liquidation_tokurei_yugen,capital_increase_by_company_split_tokurei_yugen,capital_decrease_by_company_split_tokurei_yugen,bankruptcy_or_civil_rehabilitation_tokurei_yugen,registrations_total_tokurei_yugen,dissolution_tokurei_yugen,incorporation_tokurei_yugen,incorporation_by_company_split_gomei,corporate_reorganization_gomei,dissolution_by_merger_gomei,incorporation_by_merger_gomei,completion_of_liquidation_gomei,special_liquidation_gomei,capital_increase_by_company_split_gomei,capital_decrease_by_company_split_gomei,bankruptcy_or_civil_rehabilitation_gomei,registrations_total_gomei,dissolution_gomei,incorporation_gomei,incorporation_by_company_split_goshi,corporate_reorganization_goshi,dissolution_by_merger_goshi,incorporation_by_merger_goshi,completion_of_liquidation_goshi,special_liquidation_goshi,capital_increase_by_company_split_goshi,capital_decrease_by_company_split_goshi,bankruptcy_or_civil_rehabilitation_goshi,registrations_total_goshi,dissolution_goshi,incorporation_goshi,incorporation_by_company_split_godo,corporate_reorganization_godo,dissolution_by_merger_godo,incorporation_by_merger_godo,completion_of_liquidation_godo,special_liquidation_godo,capital_increase_by_company_split_godo,capital_decrease_by_company_split_godo,bankruptcy_or_civil_rehabilitation_godo,registrations_total_godo,dissolution_godo,incorporation_godo
2015-05-01,2015,5,49,6,212,0,2092,45,4,0,1112,89754,2994,9002,49,5,175,0,941,45,4,0,720,69532,1351,7377,,1,33,,1010,,,0,386,16204,1467,,0,,0,0,8,,,,0,54,3,6,0,,1,0,34,,,,3,320,41,6,0,,3,0,99,,0,0,3,3644,132,1613
2015-06-01,2015,6,59,10,326,0,2603,39,3,0,1337,127379,3273,9276,59,10,273,0,1183,39,3,0,864,104625,1439,7519,,0,46,,1286,,,0,460,18425,1651,,0,,0,0,2,,,,1,58,3,11,0,,0,0,29,,,,5,334,45,4,0,,7,0,103,,0,0,7,3937,135,1742
2015-07-01,2015,7,79,5,406,0,3036,43,7,3,1412,146188,3822,10933,79,3,347,0,1329,43,7,3,918,120347,1634,8829,,2,51,,1503,,,0,476,20759,1936,,0,,2,0,11,,,,0,103,11,5,0,,0,0,54,,,,5,433,53,8,0,,6,0,139,,0,0,13,4546,188,2091
2015-08-01,2015,8,57,4,272,0,2861,45,2,3,1216,96078,3191,8487,57,4,221,0,1302,45,2,2,802,74884,1439,6782,,0,43,,1402,,,1,399,16846,1567,,0,,1,0,5,,,,1,93,13,6,0,,3,0,44,,,,4,356,39,9,0,,4,0,108,,0,0,10,3899,133,1690
2015-09-01,2015,9,69,1,402,0,2798,37,9,2,1102,92010,3183,8070,68,1,275,0,1255,37,9,1,715,70980,1386,6502,,0,119,,1353,,,1,372,16999,1608,,0,,2,0,9,,,,0,77,5,11,0,,2,0,44,,,,6,356,41,4,1,,4,0,137,,0,0,9,3598,143,1553
2015-10-01,2015,10,92,4,580,0,2990,50,23,4,1331,108594,3740,9821,92,4,493,0,1327,50,23,4,861,83865,1672,7778,,0,77,,1519,,,0,445,19702,1839,,0,,0,0,3,,,,0,96,11,7,0,,2,0,34,,,,5,407,58,6,0,,8,0,107,,0,0,20,4524,160,2030
2015-11-01,2015,11,54,2,223,0,2908,47,4,0,1201,91074,3212,8416,54,2,168,0,1261,47,4,0,774,70066,1427,6743,,0,50,,1499,,,0,414,16795,1574,,0,,0,0,7,,,,1,82,7,9,0,,0,0,36,,,,5,304,41,11,0,,5,0,105,,0,0,7,3827,163,1653
2015-12-01,2015,12,77,2,319,0,3624,42,6,0,1240,100240,3211,9060,76,1,243,0,1549,42,6,0,797,78110,1434,7201,,1,71,,1876,,,0,426,17432,1509,,0,,1,0,11,,,,2,106,10,19,0,,0,0,43,,,,6,364,30,18,1,,4,0,145,,0,0,9,4228,228,1822
2016-01-01,2016,1,72,7,411,0,2645,49,2,0,1263,91225,3800,10134,71,7,331,0,1220,49,2,0,859,69302,1651,8210,,0,69,,1214,,,0,394,16921,1840,,0,,1,0,11,,,,1,96,12,6,0,,1,0,42,,,,2,349,41,5,1,,9,0,158,,0,0,7,4557,256,1913
2016-02-01,2016,2,60,5,255,0,2595,60,6,0,1152,85134,2876,8680,59,5,210,0,1175,60,6,0,766,64380,1268,6850,,0,40,,1225,,,0,365,15925,1364,,0,,0,0,7,,,,0,70,7,2,0,,1,0,29,,,,4,322,32,6,1,,4,0,159,,0,0,17,4437,205,1822
2016-03-01,2016,3,81,2,367,0,2541,66,3,0,1362,99017,2966,10067,78,2,286,0,1204,66,3,0,897,76208,1337,7855,,0,52,,1140,,,0,448,17204,1380,,0,,1,0,11,,,,1,107,8,6,0,,0,0,26,,,,4,309,37,4,3,,28,0,160,,0,0,12,5189,204,2202
2016-04-01,2016,4,141,8,825,2,2834,48,15,3,1074,114252,4435,11407,140,7,718,2,1243,48,15,3,693,89131,2015,9293,,1,100,,1398,,,0,368,19919,2141,,0,,1,0,5,,,,1,80,13,11,0,,1,0,28,,,,3,325,45,6,1,,5,0,160,,0,0,9,4797,221,2097
2016-05-01,2016,5,36,1,261,0,2423,41,2,0,1088,96707,3359,9235,35,1,204,0,1046,41,2,0,689,74521,1449,7354,,0,54,,1175,,,0,383,17446,1673,,0,,0,0,11,,,,0,78,13,6,0,,0,0,33,,,,3,326,41,0,1,,3,0,158,,0,0,13,4336,183,1875
2016-06-01,2016,6,58,5,339,0,3027,39,4,0,1250,129974,3632,9692,58,4,254,0,1296,39,4,0,838,106379,1556,7783,,1,78,,1485,,,0,400,18669,1790,,0,,0,0,13,,,,0,89,4,8,0,,1,0,33,,,,2,306,32,4,0,,6,0,200,,0,0,10,4531,250,1897
2016-07-01,2016,7,95,3,345,2,3051,45,10,1,1168,131174,3778,9866,94,3,285,2,1339,45,10,1,760,107661,1655,7784,,0,55,,1473,,,0,390,18451,1869,,0,,1,0,11,,,,0,88,11,4,0,,0,0,43,,,,4,315,45,3,1,,4,0,185,,0,0,14,4659,198,2075
2016-08-01,2016,8,74,3,317,0,3224,42,3,1,1265,105025,3422,9444,74,3,246,0,1397,42,3,0,820,82299,1561,7396,,0,63,,1634,,,1,423,17812,1644,,0,,1,0,8,,,,2,78,6,9,0,,1,0,33,,,,5,323,40,8,0,,6,0,152,,0,0,15,4513,171,2031
2016-09-01,2016,9,74,4,333,1,3172,35,4,2,991,98689,3461,8529,74,3,254,1,1400,35,4,2,665,76793,1512,6662,,1,76,,1557,,,0,314,17138,1661,,0,,1,0,9,,,,0,69,5,12,0,,0,0,34,,,,4,338,43,5,0,,2,0,172,,0,0,8,4351,240,1850
2016-10-01,2016,10,76,2,475,0,3057,55,7,0,1231,100064,3602,8967,76,2,395,0,1352,55,7,0,802,77718,1635,6977,,0,74,,1459,,,0,413,17255,1684,,0,,0,0,9,,,,0,85,11,7,0,,1,0,47,,,,3,360,51,0,0,,5,0,190,,0,0,13,4646,221,1983
2016-11-01,2016,11,59,4,291,1,3075,42,2,0,1195,96633,3131,9023,58,4,234,1,1340,42,2,0,793,75014,1440,7030,,0,43,,1465,,,0,385,16526,1462,,0,,1,0,3,,,,2,84,10,7,0,,1,0,43,,,,1,344,36,10,1,,12,0,224,,0,0,14,4665,183,1976
2016-12-01,2016,12,71,2,296,1,3448,47,2,0,1132,98453,2855,9299,71,2,245,0,1462,47,2,0,739,77226,1375,7211,,0,44,,1693,,,0,369,15936,1173,,0,,1,0,12,,,,2,105,12,15,0,,0,0,39,,,,4,341,29,7,0,,6,1,242,,0,0,18,4845,266,2066
2017-01-01,2017,1,59,5,359,0,2664,56,7,3,1209,90124,3530,9998,59,5,304,0,1253,56,7,3,803,68938,1493,7722,,0,46,,1234,,,0,388,15733,1751,,0,,0,0,4,,,,0,74,6,8,0,,1,0,27,,,,3,334,44,11,0,,8,0,146,,0,0,15,5045,236,2257
2017-02-01,2017,2,51,3,251,1,2518,53,1,0,1143,87498,2777,9394,47,3,202,1,1206,53,1,0,785,66887,1306,7171,,0,36,,1106,,,0,332,15308,1229,,0,,2,0,10,,,,2,85,8,11,0,,1,0,30,,,,7,305,36,6,4,,10,0,166,,0,0,17,4913,198,2206
2017-03-01,2017,3,81,8,335,0,2324,47,7,0,1356,101383,2877,10959,80,8,248,0,1089,47,7,0,911,79364,1340,8485,,0,76,,1042,,,0,427,16088,1278,,0,,1,0,5,,,,1,78,11,10,0,,2,0,22,,,,4,314,41,0,1,,8,0,166,,0,0,13,5539,207,2464
2017-04-01,2017,4,114,2,833,0,2696,59,19,3,1000,112168,4329,11324,113,2,745,0,1202,59,19,3,694,88380,1922,9176,,0,79,,1271,,,0,294,18335,2139,,0,,1,0,8,,,,0,91,14,6,0,,0,0,33,,,,4,308,50,5,1,,8,0,182,,0,0,8,5054,204,2137
2017-05-01,2017,5,57,0,292,0,2689,58,2,1,1277,106646,3635,10804,57,0,245,0,1195,58,2,1,847,82752,1639,8421,,0,37,,1250,,,0,412,17750,1741,,0,,0,0,8,,,,0,112,13,6,0,,1,0,33,,,,2,323,33,3,0,,9,0,203,,0,0,16,5709,209,2374
2017-06-01,2017,6,54,3,267,0,2931,42,6,0,1163,127230,3401,10245,54,3,220,0,1321,42,5,0,781,104524,1526,7907,,0,38,,1379,,,0,354,17231,1652,,0,,0,0,16,,,,2,83,4,9,0,,1,0,37,,,,8,289,31,5,0,,8,0,178,,1,0,18,5103,188,2324
2017-07-01,2017,7,82,11,389,0,3072,40,6,0,1114,128621,3648,9578,81,10,319,0,1395,40,6,0,740,106451,1628,7494,,1,49,,1466,,,0,348,16798,1744,,0,,1,0,7,,,,0,81,5,10,0,,0,0,35,,,,4,347,47,6,1,,20,0,169,,0,0,22,4944,224,2068
2017-08-01,2017,8,51,5,314,0,3465,63,2,0,1260,110163,3542,9960,51,5,251,0,1565,63,2,0,844,86334,1573,7562,,0,54,,1688,,,0,391,17644,1681,,0,,0,0,2,,,,1,77,8,11,0,,1,0,39,,,,5,345,45,5,0,,8,0,171,,0,0,19,5763,235,2382
2017-09-01,2017,9,74,3,293,0,3252,43,7,2,994,98477,3224,8952,73,2,227,0,1468,43,7,2,661,76298,1469,6729,,1,61,,1554,,,0,318,16689,1536,,0,,0,0,8,,,,0,83,10,11,0,,1,0,47,,,,3,325,42,3,1,,4,0,175,,0,0,12,5082,167,2209
2017-10-01,2017,10,90,7,553,0,3311,45,12,1,1287,109220,3793,9586,90,7,489,0,1510,45,12,1,872,85379,1792,7248,,0,58,,1559,,,0,394,17892,1729,,0,,1,0,15,,,,1,111,14,8,0,,0,0,33,,,,3,319,37,9,0,,5,0,194,,0,0,17,5519,221,2321
2017-11-01,2017,11,62,2,287,0,3031,41,5,0,1157,97354,3082,8522,60,2,215,0,1295,41,5,0,789,75701,1507,6322,,0,54,,1518,,,0,342,16036,1370,,0,,0,0,5,,,,0,59,5,6,0,,0,0,41,,,,6,341,34,2,2,,18,0,172,,0,0,20,5217,166,2192
2017-12-01,2017,12,74,8,377,0,3584,64,2,0,1069,101840,2800,9489,72,7,282,0,1631,64,2,0,738,80571,1364,7142,,1,62,,1720,,,0,311,15365,1215,,0,,0,0,16,,,,4,105,10,8,0,,14,0,36,,,,1,364,35,3,2,,19,0,181,,0,0,15,5435,176,2336
2018-01-01,2018,1,74,4,483,0,2491,66,9,0,1183,87108,3274,10078,73,3,417,0,1164,66,9,0,788,66744,1441,7636,,1,56,,1150,,,0,374,14459,1545,,0,,0,0,4,,,,0,83,16,10,0,,0,0,22,,,,3,289,39,3,1,,10,0,151,,0,0,18,5533,233,2429
2018-02-01,2018,2,77,6,249,0,2311,55,1,1,1031,83094,2649,9077,73,4,206,0,1113,55,1,1,695,63734,1256,6777,,2,39,,1011,,,0,320,13867,1174,,0,,0,0,6,,,,1,69,7,8,0,,0,0,35,,,,4,290,29,4,4,,4,0,146,,0,0,11,5134,183,2288
2018-03-01,2018,3,73,1,351,0,2213,67,3,0,1260,92928,2674,9580,73,1,302,0,1120,67,3,0,848,72415,1240,7027,,0,46,,916,,,0,391,14520,1195,,0,,1,0,5,,,,1,70,1,9,0,,0,0,25,,,,4,284,35,6,0,,2,0,147,,0,0,16,5639,203,2538
2018-04-01,2018,4,82,1,896,0,2754,57,17,0,969,114456,4190,10785,82,1,769,0,1243,57,17,0,661,89841,1925,8245,,0,85,,1311,,,0,285,18325,1973,,0,,1,0,11,,,,2,88,8,11,0,,1,0,37,,,,4,335,52,10,0,,40,0,152,,0,0,17,5867,232,2519
2018-05-01,2018,5,52,7,288,0,2664,57,2,1,1159,106849,3531,10214,52,7,228,0,1272,57,2,0,779,83219,1617,7663,,0,49,,1172,,,1,354,17104,1631,,0,,0,0,9,,,,0,84,11,8,0,,1,0,29,,,,4,322,34,2,0,,10,0,182,,0,0,22,6120,238,2541
2018-06-01,2018,6,54,9,305,0,2749,45,4,0,1057,118839,3388,9798,54,8,240,0,1220,45,4,0,703,96740,1573,7423,,1,58,,1331,,,0,332,16269,1574,,0,,0,0,12,,,,0,86,9,8,0,,1,0,28,,,,6,255,37,3,0,,6,0,158,,0,0,16,5489,195,2364
2018-07-01,2018,7,73,4,445,0,3115,37,7,1,1172,132682,3764,9911,73,3,370,0,1389,37,7,1,788,109305,1743,7399,,1,61,,1501,,,0,368,17280,1764,,0,,2,0,10,,,,1,96,10,8,0,,1,0,42,,,,5,300,37,8,0,,11,0,173,,0,0,10,5701,210,2496
2018-08-01,2018,8,75,3,332,0,3253,52,2,0,1134,101965,3327,9472,74,3,258,0,1508,52,2,0,787,79147,1537,7061,,0,59,,1511,,,0,317,16425,1542,,0,,0,0,6,,,,0,69,7,11,0,,1,0,45,,,,6,341,38,1,1,,14,0,183,,0,0,24,5983,203,2399
2018-09-01,2018,9,54,2,365,1,2730,28,3,0,878,83051,3098,8304,53,2,278,1,1233,28,3,0,618,63946,1411,6127,,0,76,,1317,,,0,240,13798,1452,,0,,1,0,6,,,,0,74,7,6,0,,2,0,24,,,,2,256,35,1,1,,8,0,150,,0,0,18,4977,193,2170
2018-10-01,2018,10,72,6,635,1,3588,60,10,2,1300,114656,4173,10361,72,5,551,1,1669,60,10,2,910,88759,1915,7691,,1,74,,1677,,,0,359,19023,1947,,0,,0,0,8,,,,2,78,7,3,0,,1,0,48,,,,5,321,37,5,0,,9,0,186,,0,0,24,6475,267,2662
2018-11-01,2018,11,69,2,292,0,3100,59,0,0,1211,97761,3302,9315,68,2,226,0,1408,59,0,0,839,75577,1518,6928,,0,51,,1451,,,0,343,16012,1500,,0,,0,0,7,,,,3,67,4,4,0,,1,0,38,,,,8,299,35,3,1,,14,0,196,,0,0,18,5806,245,2380
2018-12-01,2018,12,60,2,329,0,3554,32,0,0,1006,95353,2925,9313,60,2,256,0,1597,32,0,0,670,74539,1438,7016,,0,60,,1714,,,0,306,14839,1204,,0,,1,0,10,,,,0,71,9,1,0,,0,0,33,,,,2,328,40,6,0,,12,0,200,,0,0,28,5576,234,2290
2019-01-01,2019,1,57,3,483,0,2647,53,4,1,1229,87956,3585,9792,57,3,396,0,1235,53,4,1,855,66990,1618,7231,,0,58,,1197,,,0,348,14491,1634,,0,,0,0,2,,,,1,78,9,0,0,,0,0,36,,,,2,274,44,3,0,,29,0,177,,0,0,23,6123,280,2558
2019-02-01,2019,2,71,5,246,0,2473,53,6,2,987,82959,2628,8697,71,4,195,0,1166,53,6,2,672,63706,1258,6240,,1,41,,1079,,,0,286,13126,1102,,0,,0,0,8,,,,0,65,9,6,0,,0,0,27,,,,6,276,30,6,0,,10,0,193,,0,0,23,5786,229,2445
2019-03-01,2019,3,56,2,342,0,2216,52,2,2,1172,89433,2733,9366,55,2,282,0,1083,52,2,2,813,69999,1296,6867,,0,51,,912,,,0,325,13214,1172,,0,,0,0,9,,,,1,81,10,2,0,,1,0,28,,,,7,273,31,9,1,,8,0,184,,0,0,26,5866,224,2488
2019-04-01,2019,4,109,3,977,1,2830,49,13,2,1036,114510,4433,10936,104,3,869,1,1352,49,13,2,719,91073,2083,8232,,0,96,,1247,,,0,293,16867,2055,,0,,1,0,5,,,,1,59,6,4,0,,0,0,34,,,,2,276,40,5,5,,11,0,192,,0,0,21,6235,249,2695
2019-05-01,2019,5,60,2,283,0,2638,51,2,0,994,103159,3532,10275,60,2,211,0,1261,51,2,0,681,79996,1611,7769,,0,60,,1145,,,0,290,16331,1593,,0,,1,0,7,,,,1,78,8,6,0,,2,0,28,,,,3,275,39,2,0,,9,0,197,,0,0,19,6479,281,2498
2019-06-01,2019,6,49,2,335,0,2746,44,5,1,1105,117710,3408,9883,49,2,266,0,1243,44,5,1,731,96202,1586,7390,,0,56,,1257,,,0,330,15280,1564,,0,,2,0,6,,,,2,80,11,4,0,,1,0,33,,,,7,249,20,2,0,,10,0,207,,0,0,35,5899,227,2487
2019-07-01,2019,7,68,2,369,0,3374,41,6,2,1192,139390,3926,11155,68,2,316,0,1565,41,6,2,838,114737,1802,8217,,0,43,,1570,,,0,319,17386,1793,,0,,0,0,10,,,,1,84,9,5,0,,0,0,34,,,,4,281,43,3,0,,10,0,195,,0,0,30,6902,279,2930
2019-08-01,2019,8,47,0,322,0,3218,42,2,1,1164,98257,3540,8989,46,0,269,0,1490,42,2,1,791,76741,1678,6643,,0,44,,1448,,,0,337,15006,1556,,0,,0,0,13,,,,0,70,7,5,0,,0,0,38,,,,4,281,32,2,1,,9,0,229,,0,0,32,6159,267,2339
2019-09-01,2019,9,61,3,338,0,3023,50,6,1,971,91648,3360,8849,59,3,272,0,1337,50,6,1,667,70778,1534,6472,,0,48,,1436,,,0,283,14756,1548,,0,,1,0,12,,,,0,71,4,3,0,,2,0,31,,,,3,270,41,3,2,,15,0,207,,0,0,18,5773,233,2371
2019-10-01,2019,10,91,1,555,0,3481,55,7,1,1300,108679,4165,11033,90,1,473,0,1598,55,7,1,875,84482,1964,8352,,0,72,,1586,,,0,375,17010,1868,,0,,0,0,10,,,,0,94,9,3,0,,2,0,41,,,,7,331,43,4,1,,8,0,246,,0,0,43,6762,281,2674
2019-11-01,2019,11,51,4,286,0,3252,54,2,1,1152,97848,3251,9931,51,4,222,0,1482,54,2,1,792,75997,1595,7363,,0,51,,1497,,,0,320,15031,1364,,0,,1,0,7,,,,1,75,3,4,0,,1,0,24,,,,5,267,24,3,0,,11,0,242,,0,0,34,6478,265,2561
2019-12-01,2019,12,62,0,338,0,3836,40,3,2,1146,100109,3158,9626,60,0,273,0,1769,40,3,2,790,78695,1593,7095,,0,44,,1767,,,0,315,14509,1221,,0,,1,0,3,,,,1,82,9,6,0,,0,0,33,,,,7,336,37,5,2,,20,0,264,,0,0,33,6487,298,2520
2020-01-01,2020,1,59,1,414,0,2707,62,5,0,1208,90725,3507,10979,57,1,355,0,1322,62,5,0,835,69501,1545,8112,,0,51,,1137,,,0,336,14106,1571,,0,,0,0,5,,,,1,63,7,1,0,,0,0,42,,,,6,331,59,2,2,,8,0,201,,0,0,30,6724,325,2864
2020-02-01,2020,2,44,4,220,0,2372,47,3,1,1025,81180,2643,8794,44,4,170,0,1207,47,3,1,713,62404,1262,6284,,0,39,,965,,,0,288,12442,1102,,0,,0,0,4,,,,0,58,7,4,0,,2,0,19,,,,2,213,21,2,0,,9,0,177,,0,0,22,6063,251,2504
2020-03-01,2020,3,68,1,355,0,2539,58,3,0,1340,99736,2986,10558,68,1,288,0,1289,58,3,0,921,77622,1422,7385,,0,57,,982,,,0,378,14194,1266,,0,,0,0,5,,,,0,74,9,15,0,,1,0,31,,,,1,286,22,15,0,,9,0,232,,0,0,40,7560,267,3143
2020-04-01,2020,4,138,2,913,1,2368,32,19,2,739,102489,3892,10020,134,2,793,0,1074,32,19,2,474,80126,1828,7453,,0,84,,1081,,,0,234,15555,1710,,0,,1,0,6,,,,1,77,9,2,0,,0,0,24,,,,2,228,28,4,4,,35,1,183,,0,0,28,6503,317,2561
2020-05-01,2020,5,46,2,337,0,2548,40,3,1,694,96836,3019,7831,45,2,290,0,1176,40,3,1,483,75232,1451,5565,,0,43,,1125,,,0,192,14671,1316,,0,,0,0,5,,,,1,70,10,0,0,,0,0,33,,,,3,267,18,1,1,,4,0,209,,0,0,15,6596,224,2265
2020-06-01,2020,6,56,2,303,0,3150,42,1,1,936,134988,3228,9332,55,2,256,0,1507,42,1,0,633,110165,1594,6623,,0,33,,1358,,,1,263,16666,1329,,0,,0,0,8,,,,0,64,8,1,0,,0,0,23,,,,3,308,32,1,1,,14,0,254,,0,0,37,7785,265,2707
2020-07-01,2020,7,53,1,462,1,3135,57,6,0,1155,135835,3202,10789,52,0,412,1,1496,57,6,0,817,110841,1565,7633,,1,38,,1408,,,0,304,16559,1372,,0,,1,0,10,,,,0,66,7,1,0,,1,0,26,,,,7,277,30,4,1,,10,0,195,,0,0,27,8092,228,3151
2020-08-01,2020,8,37,1,283,0,2955,57,2,0,1315,100501,2811,9208,35,1,223,0,1430,57,2,0,918,77789,1383,6531,,0,40,,1305,,,0,346,14933,1167,,0,,1,0,6,,,,1,89,9,3,0,,0,0,32,,,,6,288,25,0,2,,19,0,182,,0,0,44,7402,227,2674
2020-09-01,2020,9,55,1,330,0,3044,37,5,0,1128,101309,2879,10062,53,0,256,0,1484,37,5,0,787,78450,1384,7194,,1,55,,1301,,,0,299,14884,1235,,0,,0,0,5,,,,0,77,3,2,0,,1,0,29,,,,3,314,25,2,2,,18,0,225,,0,0,39,7584,232,2864
2020-10-01,2020,10,93,2,607,0,3302,77,12,2,1427,114029,3510,10980,92,2,515,0,1556,77,12,2,977,88428,1774,7961,,0,70,,1416,,,0,390,16919,1417,,0,,0,0,11,,,,1,78,8,0,0,,2,0,28,,,,11,331,40,4,1,,20,0,291,,0,0,48,8273,271,3015
2020-11-01,2020,11,42,1,284,0,2756,60,1,0,1119,94738,2672,9660,41,1,228,0,1346,60,1,0,784,73366,1302,7025,,0,38,,1197,,,0,299,13937,1138,,0,,0,0,5,,,,0,39,0,3,0,,0,0,22,,,,3,238,24,1,1,,18,0,186,,0,0,33,7158,208,2631
2020-12-01,2020,12,49,2,336,0,3387,50,0,0,1033,101609,2493,10786,48,2,274,0,1663,50,0,0,717,79780,1284,7922,,0,38,,1457,,,0,287,13840,945,,0,,0,0,6,,,,0,59,5,2,0,,1,0,36,,,,5,261,17,5,1,,23,0,225,,0,0,24,7669,242,2857
2021-01-01,2021,1,56,6,435,1,2428,66,5,3,1043,91258,2845,10821,56,6,375,1,1217,66,5,2,713,70242,1403,7759,,0,40,,1016,,,1,286,13021,1109,,0,,1,0,4,,,,0,63,6,1,0,,0,0,24,,,,4,281,41,2,0,,19,0,167,,0,0,40,7651,286,3059
2021-02-01,2021,2,53,3,292,0,2185,53,1,0,875,83213,2215,9472,51,3,238,0,1103,53,1,0,587,64299,1081,6804,,0,36,,858,,,0,247,11656,873,,0,,0,0,4,,,,1,55,4,0,0,,0,0,26,,,,5,208,18,0,2,,18,0,194,,0,0,35,6995,239,2668
2021-03-01,2021,3,80,1,400,0,2657,71,4,0,1269,111416,2828,11158,71,1,345,0,1357,71,4,0,874,87019,1393,7810,,0,43,,981,,,0,348,14882,1120,,0,,0,0,7,,,,0,74,3,1,0,,1,0,24,,,,3,282,24,2,9,,11,0,288,,0,0,44,9159,288,3345
2021-04-01,2021,4,98,3,1043,0,2430,65,17,1,914,124206,3792,14290,98,3,939,0,1244,65,17,1,668,98572,1860,10542,,0,80,,961,,,0,213,16454,1628,,0,,1,0,3,,,,0,80,6,2,0,,2,0,25,,,,3,228,27,3,0,,21,0,197,,0,0,30,8872,271,3743
2021-05-01,2021,5,43,1,264,0,2199,69,0,0,797,95637,2858,9648,42,1,215,0,1120,69,0,0,563,74239,1363,6802,,0,29,,861,,,0,204,13504,1236,,0,,0,0,1,,,,0,52,8,0,0,,3,0,16,,,,3,217,29,1,1,,17,0,201,,0,0,27,7625,222,2845
2021-06-01,2021,6,67,0,329,0,2904,58,2,3,928,131884,3292,12453,65,0,232,0,1423,58,2,3,635,107144,1575,8888,,0,42,,1201,,,0,266,15645,1391,,0,,0,0,7,,,,1,58,7,3,0,,0,0,33,,,,2,260,31,3,2,,55,0,240,,0,0,24,8777,288,3559
2021-07-01,2021,7,79,3,417,0,2656,37,6,2,847,124786,3380,10947,78,3,352,0,1318,37,6,2,589,102664,1614,7975,,0,42,,1118,,,0,223,14286,1480,,0,,1,0,3,,,,1,70,5,1,0,,1,0,20,,,,1,210,31,2,1,,21,0,197,,0,0,33,7556,250,2969
2021-08-01,2021,8,69,1,303,0,3150,45,0,0,933,105708,3248,10111,68,1,248,0,1512,45,0,0,638,82617,1587,7185,,0,33,,1353,,,0,246,14615,1328,,0,,2,0,4,,,,1,59,9,0,0,,0,0,30,,,,6,263,34,3,1,,20,0,251,,0,0,42,8154,290,2923
2021-09-01,2021,9,61,1,426,1,3231,55,3,0,771,99913,3262,10606,61,1,363,1,1513,55,3,0,550,77182,1578,7557,,0,47,,1417,,,0,193,14431,1366,,0,,0,0,6,,,,0,58,4,0,0,,2,0,28,,,,0,245,33,3,0,,14,0,267,,0,0,28,7997,281,3046
2021-10-01,2021,10,82,4,622,1,3207,56,5,2,982,109883,3619,11873,82,4,513,1,1603,56,5,2,667,85571,1830,8662,,0,80,,1339,,,0,269,15641,1472,,0,,2,0,6,,,,1,77,9,1,0,,0,0,32,,,,3,263,26,8,0,,27,0,227,,0,0,42,8331,282,3202
2021-11-01,2021,11,55,2,272,0,3103,42,2,1,862,100630,2953,10917,54,2,220,0,1549,42,2,1,578,77959,1426,7950,,0,39,,1259,,,0,245,13878,1195,,0,,0,0,11,,,,0,78,6,3,0,,1,0,28,,,,2,255,23,3,1,,12,0,256,,0,0,37,8460,303,2961
2021-12-01,2021,12,59,0,296,0,3549,46,5,1,777,99283,2665,10047,58,0,228,0,1691,46,5,1,537,77841,1355,7288,,0,49,,1514,,,0,213,13249,996,,0,,0,0,8,,,,0,76,6,4,0,,1,0,37,,,,4,257,20,3,1,,18,0,299,,0,0,23,7860,288,2752
2022-01-01,2022,1,58,0,474,0,2539,48,2,0,889,90698,2857,12122,57,0,389,0,1282,48,2,0,618,69836,1338,8797,,0,57,,1016,,,0,233,12480,1212,,0,,0,0,3,,,,1,56,4,1,0,,1,0,18,,,,2,226,23,4,1,,27,0,220,,0,0,35,8100,280,3320
2022-02-01,2022,2,45,0,227,0,2342,48,2,1,654,81013,2125,9490,43,0,191,0,1164,48,2,1,453,62480,1058,6711,,0,26,,943,,,0,175,10870,782,,0,,0,0,6,,,,0,65,7,2,0,,1,0,24,,,,2,215,17,2,2,,9,0,205,,0,0,24,7383,261,2775
2022-03-01,2022,3,72,6,361,0,2412,45,3,3,956,100710,2557,11419,71,5,303,0,1248,45,3,3,667,78410,1196,8049,,1,39,,871,,,0,257,12707,976,,0,,0,0,5,,,,0,65,6,0,0,,0,0,13,,,,2,213,25,3,1,,19,0,275,,0,0,30,9315,354,3367
